Client,Source,Date,Review,Positive Category,Positive Subcategory,Negative Category,Negative Subcategory
MOLLY MAID,Yelp,"Apr 11, 2024",Our team is amazing! I wish I was as efficient as they are. They leave our home sparkling! Highly recommend Molly Maids!,quality of cleaning;efficiency/speed,spotless results;efficient work,,
MOLLY MAID,Yelp,"Mar 8, 2024","We utilized Molly Maid services for a decade up until 2012. They did a fine job and I liked that they were licensed. Typically the same group came every week. I think once or twice in 10 years I had to make them re-clean the floor but that was a minor inconvenience. In general, I highly recommend using a licensed cleaning service if you work a lot of hours.",professionalism/service;quality of cleaning,reliability;cleanliness;thoroughness,,
MOLLY MAID,Yelp,"Feb 16, 2024","We've been using Molly Maid for over a year now, and the quality hasn't been the greatest but it's been sufficient enough that we haven't pushed to find an alternative. However, recently we experienced a combination of rude behavior and inconsistent practices that pushed us to discontinue our service with them.Normally our cleaners wear shoe covers per our request (though I'm reading in previous reviews that this actually should be standard practice). Today we were sent a different cleaning team than we're used to and noticed the woman cleaning our bathroom was not wearing the shoe covers. We brought it up twice before they told us ""it was policy to not wear them in the bathroom"". I found that strange given we never had issues before. Furthermore, the explanation we were given when talking to the lead on the phone didn't make any sense. I understand safety in not wearing them in a tub where one might slip, but do not understand that logic being applied to the rest of the bathroom floor. How would wearing a shoe cover in our bathroom be any different than the rest of the hardwood floors in our home? Why would we want bacteria and dirt brought in from outside sullying our bathroom floors? Anyway, the main gripe is how rude the lead was in dismissing our concerns. She spoke disparagingly of me on the phone to one of the cleaners without realizing she was on speaker phone. Horrible way to treat your customers. Overall, cleaning is inconsistent, prices are not good value (and raised without any notice), and you're better off just cleaning yourself (which is what we ended up doing anyway).",,,quality of cleaning;professionalism/service;value/price,inconsistent cleaning;unprofessional behavior;poor communication;overpriced
MOLLY MAID,Yelp,"Feb 16, 2024","I've started a recurring service with Molly Maid and we had our first intro cleaning today. Two cleaners for three hours. They did a great job. Thorough, and not too loud or disruptive to myself and my partner while we worked from home today.Rate was $80/hour/person, which might be a bit higher than competitors, but you get quality and I appreciated the coordination and customer service.We're looking forward to recurring service with Molly Maid and a much cleaner, better-kept home.",quality of cleaning;professionalism/service;value/price,thoroughness;customer service;reasonable pricing,,
MOLLY MAID,Yelp,"Feb 14, 2024","I have had Molly Maid come clean just my floors and bathrooms once a month for several months now. I remove everything off the floors (including chairs and small tables) before they come so they don't have to deal with working around them and can easily clean the floor and I lock my cats away so they don't have to worry about them escaping or being underfoot.Yesterday was the second time I've come home to find visible dirt (crumbs, pine needles) left on my rugs and floor and visible toothpaste left on a bathroom back splash. The first time this happened I finished sweeping and cleaning myself and went to cancel the service. They gave me a coupon to try them again and sent out a quality supervisor with the cleaning team the next time. They did a great job that month and the next month.Yesterday the team arrived to my house an hour early (I was just leaving for an in person meeting so I saw them arrive) and yet when I came home there were again visible pine needles left in a kitchen mat, visible crumbs left on the floor in three areas of the kitchen, and toothpaste on the bathroom backsplash.When I called about the problem Eileen apologized and said they would send someone out to re-clean the kitchen from 12 - 2 pm today (a window the team picked based on their schedule). I explained I could work from home in that window to let them in. At 2:05 pm no one had arrived nor contacted me so I called the office to ask if they were on their way. I spoke to Marissa who said she would call the team and get back to me on their eta. Instead of a call, I received a text back from Marissa saying the team was running behind and wouldn't get to my house until 3:30 pm (a full hour and half later than the window I was given). There was no apology or acknowledgment of how much later that time was nor questions about if I could accommodate that new time. Just the statement that they would now show up at 3:30 pm.Given the pattern of periodic poor cleaning I suspect this is an issue with how this branch of Molly Maid runs their business. If the cleaners are so rushed multiple times that they can't slow down enough to make sure bare floors are fully cleaned before they move on that is a big red flag.I would suggest taking your business elsewhere. I plan to.",professionalism/service,customer service,quality of cleaning;professionalism/service;efficiency/speed,missed spots;poor communication;late arrival
MOLLY MAID,Yelp,"Jan 30, 2024","Worst Customer Service ever. Marissa, almost seems like she doesn't want to be there, unprofessional and totally rude",,,professionalism/service,unprofessional behavior
MOLLY MAID,Yelp,"Jan 12, 2024",I lost my cleaners of many years and was reluctant to hire any of the other cleaners I saw advertised. I took a chance with Molly Maids and the results were amazing.  They  exceeded my expectations and the cleaners were very nice and helpful.,quality of cleaning;professionalism/service,thoroughness;friendliness,,
MOLLY MAID,Yelp,"Dec 21, 2023","Beware!!! It happened to me so don't let it happen to you.I had a gift certificate, so I thought I'd make use of Molly Maid of S. Silicon Valley for a move out service clean for a 1br 750 sq ft apartment. I was quoted at $185/hour for a team of 2. It sounds pricey but I figured I'd do all the cleaning I can (vacuum, dust, wipe down shelves, stove and fridge, and mop) ahead of time and let the professionals touch up so I get my full deposit back.I'd like to give people the benefit of the doubt so I wasn't there when they arrived at 8:20am. I didn't want to hover over them while they do their job. I thought I'd check in an hour later to see how things were progressing assuming they were close to done. I was surprised that they barely started - it didn't seem anything was done. Additionally, they didn't use shoe covers so they tracked in more dirt and the floor that I vacuumed and steam vac'd is now dirty. I didn't want to assume the worst so figured maybe I'll give them another hour. I come back at 10:20am and they are just starting on the windows. 2 hours, 2 professional cleaners, 750 sq ft in an empty apartment that I cleaned the day prior.I ask them how much longer it's going to take. They tell me until 12pm - that would be 4 hours, $740 for 2 people whose job it is to clean to clean a tiny, empty apartment. I ask them what they've been doing and one of the maid tells me that they were working on the fridge. But I cleaned the fridge!!! The day before, I took out each shelf and wiped them down, there's no way she had been cleaning the fridge. I had enough and tell them to get out. Now I need to go back and clean up the dirty floor they left me. At least it won't take me 2 hours to do it.",,,quality of cleaning;professionalism/service;efficiency/speed;value/price,poor attention to detail;unprofessional behavior;slow service;overpriced
MOLLY MAID,Yelp,"Dec 14, 2023",I love coming back to my place after Molly Maids have cleaned my it. Everything is sparking clean and fresh.  Never had any issues with them and that's a plus too.,quality of cleaning;trustworthiness,cleanliness;spotless results;reliability,,
MOLLY MAID,Yelp,"Dec 8, 2023",Molly Maids did a fantastic job on my home!  I called for a one-off before the holidays. Scheduling was easy and they were professional and thorough. I am very pleased with the results and will continue to use them on a regular basis.,quality of cleaning;professionalism/service,thoroughness;booking options;customer service,,
MOLLY MAID,Yelp,"Nov 1, 2023","I hired Molly Maid for a one-off cleaning of just our two bathrooms and kitchen. They were very proactive and communicative, and readily available to come quickly. They cleaned everything nicely and efficiently (always send at least 2 cleaners). Cons were that they came earlier than they said that they would (didn't call), and they didn't provide oven cleaning service for the standard cleaning. It was $320 for just under 2 hours, which I believe is slightly higher than if you just hire someone directly.",professionalism/service;efficiency/speed;quality of cleaning,communication;responsiveness;quick service;efficient work;cleanliness,professionalism/service;value/price,poor communication;overpriced
MOLLY MAID,Yelp,"Oct 16, 2023","Eileen has the worst customer service.  I called to find out an ETA on service.  She explained the new time frame would be between 2-4.  I told her they are always here no later than noon.  She explained about me changing my day so my time would possibly change and I requested a specific team.  Mind you I was supposed to get a call back for this said time change.  I never received a phone call back about my new time window, which I got over.  I did request a specific team because the very first visit with a different team a couple items went missing and I felt comfortable with my current team I been requesting and using.  I did explain this all to Miss Eileen durning my initial call.  Continuing on,  I did explain that the new time window is late and the reason for my change was because they called and was closed for the holiday.  She continued to RUDELY debate with me pretty much making insinuating I was lying.  After a few minutes of her rude and defensive behavior I canceled service which she replied ""that's fine."" After hanging up the phone I though maybe I got September and October mixed up.  Which sure no problem mistakes happen.  BUTBeing in customer service myself I would never argue with a customer.  She could of politely just said I'm sorry that the new time doesn't work for you and rescheduled me for another day.  Eileen was just sooooo focused on proving me wrong with her rude and defensive tone that she lost a customer and worst had no care in the world for the loss of business.  Please if your going to be in customer service train your staff to be respectful and to try to diffuse situations not make them worst.",,,professionalism/service,poor communication;unprofessional behavior
MOLLY MAID,Yelp,"September 6, 2023",The team of Rose and Candy are very hard working and pay attention to detail.  They are on time and are friendly as well. I'm always happy with their results,quality of cleaning;professionalism/service;efficiency/speed,attention to detail;friendliness;punctuality;spotless results,,
MOLLY MAID,Yelp,"Jul 30, 2023",Team #2 were absolutely amazing. Team #2 was Adrianna and Susana were very friendly and very professional. They did an amazing job cleaning my house. I would definitely hire them again,quality of cleaning;professionalism/service,thoroughness;friendliness;customer service,,
MOLLY MAID,Yelp,"Jul 6, 2023","We had a move out clean for one bedroom two bath. I called once to schedule our appointment. On that day, I had to call four times to follow up. It seemed like there was some lack of communication on the other end. In the initial phone call, I was quoted 170-300, but was charged 370. For our small space and the price, I would have hoped for it to be cleaner. Just walking around for a few hours the bottom of my feet are noticeably dirty.Won't be using the service again.",,,professionalism/service;value/price;quality of cleaning,poor communication;hidden fees;missed spots
MOLLY MAID,Yelp,"Jul 5, 2023","I was in a bind for a move out clean and Molly maid confirmed my appointment with a credit card on less than a weeks notice.  The information regarding a minimum one hour charge for 2 cleaners was provided up front and that the cleaning staff will provide an estimate upon arrival after inspecting the area.  The cleaning staff provided  an estimate for their time based on 2 cleaners for 4-5.25 hours.  After 1.5 hours an additional cleaner showed up and worked just under 3 hours.  Even though I was never informed about the extra staff, I expected the house would be cleaned in a shorter period of time.  It still required the staff 4.5 hours and a charge well above the estimated higher dollar range of $560-$735, with a total bill of $829.  Normally if you provide a price quote to someone for work to be done by 2 people in 4.5 hours, only naturally the work should be completed in far less time with a 3rd worker.  The office needs to inform clients of additional staff time above what is quoted, and not just sneak in additional staff without notice.The workers are there to clean your house and that is what they did.  I had no issues communicating with the staff in both english and espanol.  They cleaned the house exceptionally well and very detailed.  All 1700 sf of liveable space was ready for the new owners to move right in.I would hire Molly Maid again, unfortunately, I moved out of the area.For those with comments regarding language barriers, pull out your phone and use google translate if you have questions or concerns for staff.",quality of cleaning;professionalism/service,detailed cleaning;communication;friendliness,value/price;efficiency/speed,overpriced;slow service
MOLLY MAID,Yelp,"Apr 7, 2023","My work schedule is different and we have dogs. So, I needed to request when they come it needs to be only during a small window of time on a certain day so I could be there to get the dogs locked up. They were able to accommodate my request and are in and out of there in about an hour. Good job cleaning. Very satisfied with the quality.",professionalism/service;efficiency/speed;quality of cleaning,responsiveness;quick service;thoroughness,,
MOLLY MAID,Yelp,"Mar 22, 2023","Was charged extra for an additional cleaner that was not disclosed when booking, then ignored my callbacks for a resolution. Didn't even clean that well for the $260+ per hour they charged me. Avoid!",,,professionalism/service;value/price;quality of cleaning,poor communication;overpriced;inconsistent cleaning
MOLLY MAID,Yelp,"Feb 22, 2023",I wish I could give 0 stars. I hired Molly Maid today. Not only did they break my toaster (kitchen was already clean) but they left this filth on my doormat. What is this?(images attached) My outside doormat is ALWAYS CLEAN. It was CLEAN upon Molly Maids arrival however when they left they left this filth!  In addition they left the garbage that THEY- Molly Maid put outside my front door.  They left it there and didnt empty it which is what tMolly Maid advertises doing with every cleaning- empty garbage. I spoke with Eileen who answered the phone today after this debacle and who I had a conversation with yesterday in preps for this appt today. She was no help at all. Also they didn't mop the floor as part of the agreement yet one of the cleaners spent a good 10 mins on my toaster ; Huh?   That makes no sense.   Then she broke it. After speaking in broken english she spent another 10 mins calling her office to explain the situation in her language about the broken toaster - meanwhile I am being charged by the hour. Terrible service. Eileen was no help. She was the person I spoke to yesterday- I had asked for a manager butI got Eileen who was no help with this situation.  Then she couldn't even confirm how much this cost today?  What kind of business are you running Molly Maid? I demand some answers in writing. You know who I am.  ------------------------------UPDATE- 2/24/23 - Sandy W. - THE OWNER OF MOLLY MAID confirms why they get -0 Stars and a shady business.   Sandy replied to my review(scroll down) Her response says they didnt take the garbage that the MOLLY MAID CLEANERS put OUTSIDE MY FRONT DOOR because I asked them to leave the inside of my home. They ruined mydoor matt with the filth they left on it. WAS IT INTENTIONAL BECAUSE I ASKED THEM TO LEAVE MY HOME?  Prior to me asking them to leave they were wasting time talking on the phone in broken english while I am being charged by the the hour. RE- READ the post Sandy - The Owner of Molly Maid.Your business is disgusting! You charged me all that money and left the garbage YOU put on My doorstep outside and want to blame it on me telling them to leave the INSIDE of my home? And you left this filth at my door? Shame on You! What a pathetic response. Go away!,,,quality of cleaning;professionalism/service;efficiency/speed,damage to property;poor communication;slow service
MOLLY MAID,Yelp,"Feb 10, 2023","Marleny and Chelsea of Team #12 did a great job with cleaning our house today! Marleny has been our trusted cleaning partner for over a year, and pays great attention to detail to clean our house just the way we want it. It's a pleasure to see the spotlessly clean floors, dusted furniture, and clean-smelling bathrooms every time. Thank you for making our lives easier!",quality of cleaning;trustworthiness,attention to detail;spotless results;favorite worker,,
MOLLY MAID,Yelp,"Nov 21, 2022",Team 1 (Rosa and Candy) did a great job cleaning my kitchen & bathroom and left it sparkling clean. They were also very friendly and kind :) definitely recommend this team,quality of cleaning;professionalism/service,spotless results;friendliness,,
MOLLY MAID,Yelp,"Nov 3, 2022",Two closet doors and a kitchen cabinet door needed; hing. They were fixed but at  Different dates and times. The handyman,,,,
MOLLY MAID,Yelp,"Oct 24, 2022","After more than 10 years with Moly Maids, I am done. I had a long standing biweekly appointment which had them arriving after 2pm. It became a biweekly call at 3:30 the day of cleaning requesting if THEY can cancel and reschedule for another day. If I had called late to reschedule, I would most defiantly be charged. The last call was the crew requesitng to come 2.5 hours early, I said no, but they still showed up. I called the office, and reminded them, again, my appointment time is 2pm. The crew left and returned again, 45 minutes early. Clearly the office and staff can not follow simple instructions and truly do not care about long standing loyal customers. It was also very apparent when the crew didn't get their way in the scheduling, the cleaning was less than stellar.",,,professionalism/service;efficiency/speed;quality of cleaning,poor communication;lack of responsiveness;late arrival;inconsistent cleaning
MOLLY MAID,Yelp,"Sep 9, 2022","Team #1 Ros and Candy were amazing!  They were fast, efficient and very friendly.  I asked for a two hour window to have my mom's house cleaned while I took her out of the home.  They also called when a half an hour away so I made sure to have her gone.  This was very helpful as she has dementia and it would have confused her to have her there.  It was also extremely hot and the house has no a/c.  What a fantastic job!  Will use them again!",efficiency/speed;professionalism/service,quick service;friendly;communication,,
MOLLY MAID,Yelp,"Jul 26, 2022",I moved and left a bunch of trash and a 4 bedroom house that needed some serious cleaning. Alma and Betty of Team #9 came over and did a fantastic job thank-you very much! They worked tirelessly for several house and didn't miss a spot! I would hire them again no doubt.,quality of cleaning;efficiency/speed,thoroughness;spotless results;quick service,,
MOLLY MAID,Yelp,"Jul 6, 2022","It was six years ago when we began using the services of Molly Maid of S. Silicon Valley, and we are very blessed to have been customers for all that time! My wife and I are both in tech, she's in medical and I've been in software, hardware and now the health insurance industry. We cannot express how much Molly Maid empowered us to thrive in our careers here in San Jose, and we want to call out an amazing Maid -- Lupe and her team were reliable, extremely hard-working, and over the years we have come to consider them part of our extended family.Lupe is pretty much the highlight of our week when we're working out of our home offices. She laughs and chats with me for a moment about my day, she asks my wife about our pets and about her work. It's always a pleasure to see her. Moreover, when she gets to work, we always know our apartment will be sparkling when her team is finished. As she often trains new Molly Maids, we have enjoyed the cleaning services of many different ladies and gentlemen over the years, but Lupe is both our favorite and someone we care about. THANK YOU LUPE!!!When you need to have a clean home or apartment and you want to get a great service, Molly Maid gets my highest recommendation! Furthermore, Molly Maid of S. Silicon Valley's staff is trustworthy, great to deal with, and affordable. My wife and I would never have had such great success in life and at work without the support of these professionals. Highest possible recommendation!Sorry that the photos feature us and our pets more than they show the lovely clean home, but rest assured, one reason we're so happy is thanks to Lupe and the Molly Maid team!",quality of cleaning;professionalism/service;trustworthiness;value/price,spotless results;friendliness;customer service;reliability;good value for money,,
MOLLY MAID,Yelp,"Jun 16, 2022","**Edit**I have not been charged in a few days so I called back to see what was wrong. Not only did Claudia not explain the pricing properly, she incorrectly wrote my credit card down too. *******I should have done my due diligence and check reviews before booking an appointment. My cousin referred me to Moly Maid because she also uses them, but after my experience she is reconsidering.Time is really of the essence, but they have no sense of it. I scheduled my estimate consultation for 5PM on a Thursday. Claudia came 20-30 minutes late without giving any heads up. I decided to call the Molly Maid ""Contact Us"" number. In the midst of talking to the phone rep to see where Claudia was, I received an incoming call from her. I informed the rep that it must be her calling and the rep replies in a rude and snarky demeanor ""you should probably answer that"".Giving them the benefit of the doubt, I decide to schedule a cleaning session for the following week. I was informed it would be 150 an hour for the first visit. The duration would be dependent on whether I received 2 or 3 cleaners. Subsequent sessions would be 185 fixed price. Scheduling a slot had a huge 4 hour range, which makes it very hard to plan around the cleaning session.All I was told was the ""ladies"" would be coming somewhere between 12-4pm. On the day of, they arrived around 1pm. All of them had a language barrier so it was very hard to get any questions answered. Other services I had used before would notify me the day of when the cleaners would be coming. They also had a smaller scheduling window, allowing me to better plan my day. They also review pricing before starting the job. Molly Maid did none of this.I had a meeting so I closed my door for a bit. Upon finishing I told the ""ladies"" they could clean my office. I heard one of them say ""Pendejo"". Obviously without any context and the language barrier I can only assume that was directed to me. I decided to not cause any trouble so I let them proceed.After they finished my office they gave me the invoice which showed 1 hour and 50 minutes. The job only took 1 hour and 10 minutes. On top of this I was quoted a 225 per hour rate instead of the 150 like Claudia explained.Again, the language barrier prevented me from getting anything across to the ladies. I called Marissa (phone representative) to explain the dilemma. All things said, they still did a good job at cleaning so I stated that if they could honor the 150 an hour rate I'd be ready to schedule monthly cleanings for the fixed 185. She wanted to run it by her manager first.Maybe I don't know how to run a business, but the manager declined, which was essentially giving up a guaranteed 185 a month. That's 185 x 6 = 1110 they would be giving up for the remainder of the year. I guess the 80-100 dollar up front was more important to them than $1110. Anyway, I wouldn't waste my time with this company. Go for another company that is transparent and values your time. One that respects the customer and won't curse at them in their native tongue...If you look at another Yelp review below from 2 months ago. You can see he/she fell prey to their predatory style of pricing. He was not given the $150 an hr as quoted. Actually many reviews below mine have experienced this ""switch and bait"" tactic. Ones an accident but more than two complaints speaks volumes.",quality of cleaning,thoroughness,professionalism/service;efficiency/speed;value/price;trustworthiness,poor communication;lack of responsiveness;late arrival;overpriced;hidden fees;dishonesty
MOLLY MAID,Yelp,"May 4, 2022","I contacted Molly Maids for a quote online and was estimated at $300 to $400.  I felt that the quote was low and met with Marissa Jimenez who was very nice and received a new quote $360 to $720.  I called in for service for 3/22/2022.  I went by and inspected and the cleaning was not done.  I rescheduled for 04/28/2022 and received a call that day the cleaners would need more additional time and revised the costs to $900.  I stated I thought that the range had a not to exceed price of $720 since the estimator came through and looked at the entire property before the price was given. They said no it's based on how much time is needed.  We approved it since we did not want to have to find another cleaner to finish the job since we were going to put it on the market.I stopped by to inspect the home on 05/02/2022 and noticed the windows were not cleaned, debris on the floors, spider webs on the walls and ceilings, garage was not swept out.  For a job that went from a possible $360 to over $900 was a ""BAIT AND SWITCH"" knowing that we had no choice was not acceptable in my mind.  Knowing this was a house that needed more than just a simple cleaning, I specifically had them come in to do an in house estimate so they could see the work needed in detail.  I called and left a message with no call back left me with a bad taste in my mouth.  I feel if you quote a range and they could not do that work within the range, it is on your employees and not to come back to table with a new price.  I had photography set for the following day and had to clean all the windows myself before we put this home for sale.  So disappointing that Molly Maids charged approximately 3 times the regular price and the results didn't live up to your advertisements!",professionalism/service,friendliness,value/price;quality of cleaning;professionalism/service;efficiency/speed,overpriced;missed spots;poor communication;slow service
MOLLY MAID,Yelp,"Apr 7, 2022","Horrible service - I will advise not to use them.They did horribly bad job- We had to clean the house all over again after they left.Used them first time  with the intention to use them bi- weekly If they perform a good job. But the service was really bad and the house didn't look clean even after they left.After telling them multiple times that this is not clean please do it again, it was still left as is.They even wet the whole carpet outside of the bathroom and the stairs.One of the main lady said that the other two ladies came with her are trainee. Those two didn't have a professional attitude either and they were very rude.Even after such a horrible job where we ended up cleaning the whole house after the left - they charged us around $ 500 for two hours.They also ripped us on pricing - they quoted $ 150/hour over the phone and didn't mentioned at all that their one time cleaning fee is high.Please see the attached pictures.",,,quality of cleaning;professionalism/service;value/price,inconsistent cleaning;poor attention to detail;unprofessional behavior;poor communication;overpriced;hidden fees
MOLLY MAID,Yelp,"Mar 31, 2022","We received great service from Team # 11, Ana Guzman and Yesenia.  They always pay attention to the details.  They have a positive attitude and work hard.   They even work around us when we  are home.  The put special details for us like a cute flower design on our toilet paper.  They communicate well when there are any changes or issues arise. I highly recommend and will continue to use their service.",quality of cleaning;professionalism/service,attention to detail;friendliness;communication,,
MOLLY MAID,Yelp,"Mar 28, 2022","We are not too pleased with the service today.I was expecting exceptional cleaning- we got very average.I specifically asked for the corners of each room to be done and they were not.There was zero way to communicate to the cleaners who spoke no English.The cleaning is sloppy and not thorough at all and we really needed a GOOD job done since we are listing our house for sale this week.Very disappointed and will never be using you again.Just got off the phone with the manager- she is HORRIBLE!  She wants to charge me a HUGE price for the absolute crappy work they did!  I do not have time for her to ""redo"" the cleaning.  It seems reasonable to me that a steep discount for having to do all the cleaning MYSELF would be in order.  NEVER EVER USE THESE GUYS!!!",,,quality of cleaning;professionalism/service;value/price,missed spots;poor attention to detail;unprofessional behavior;poor communication;overpriced
MOLLY MAID,Yelp,"Feb 28, 2022","Cleaners were scheduled to come between 8-12. It's now 1 pm and nobody has shown up. Called the company and was told the person responsible was simply unresponsive... and there was nothing to do other than to wait for a response from her. They were unable to schedule for someone else.My tenants are doing their move-in inspection in a couple hours - what am I supposed to do? Absolutely ridiculous.Edit: Sandy, I haven't been able to get in touch with anyone regarding payment. Where is the invoice? Can someone reach out to me please?",,,professionalism/service;efficiency/speed,poor communication;lack of responsiveness;late arrival
MOLLY MAID,Yelp,"Feb 22, 2022",We have been clients for a long time. Pleased with the work they do. I also like the fact that I can trust they don't judge for the way I cannot organize or clean my house by myself.,trustworthiness,reliability,,
